Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
493,201.38,56.48, добрый , прл ед муж им ,48848,dobryj,6
494,201.2,56.5, гора , сущ неод ед жен им ,4199,gora,4
495,201.2,56.52, темный , прл ед муж им ,56499,temnyj,6
496,200.83,56.54, врач , сущ одуш ед общ им ,24009,vrach,5
497,200.77,56.56, край , сущ неод ед муж им ,131965,kraj,4
500,199.36,56.62, река , сущ неод ед жен им ,16959,reka,4
501,198.69,56.64, военный , прл ед муж им ,47817,voennyj,7
502,197.59,56.66, мера , сущ неод ед жен им ,9971,mera,4
504,197.41,56.69, вполне , нар опред степ ,199390,vpolne,6
505,197.22,56.71, звать , гл несов перех инф ,60460,zvat',5
507,196.49,56.75, вперед , предл род ,4128046,vpered,6
509,196.18,56.79, возле , предл род ,4128043,vozle,5
510,195.2,56.81, никак , нар опред спос ,202660,nikak,5
514,192.32,56.89, вещь , сущ неод ед жен им ,2999,vesch',6
516,191.71,56.93, ход , сущ неод ед муж им ,35049,hod,3
517,191.65,56.95, боль , сущ неод ед жен им ,2299,bol',4
518,191.53,56.97, судьба , сущ неод ед жен им ,19455,sud'ba,6
520,191.22,57.0, едва , нар опред степ ,200156,edva,4
523,191.04,57.06, черта , сущ неод ед жен им ,21909,cherta,6
524,189.81,57.08, волос , сущ неод ед муж им ,23925,volos,5
525,189.81,57.1, легкий , прл ед муж им ,50698,legkij,6
526,189.02,57.12, купить , гл сов перех инф ,60929,kupit',6
527,188.41,57.14, номер , сущ неод ед муж им ,28953,nomer,5
529,187.31,57.18, умереть , гл сов непер инф ,66782,umeret',7
531,187.24,57.21, далеко , нар опред кач ,199799,daleko,6
532,187.18,57.23, плохо , нар опред кач ,203120,ploho,5
533,187.06,57.25, глава , сущ одуш ед муж им ,128430,glava,5
535,186.57,57.29, серый , прл ед муж им ,55494,seryj,5
536,186.2,57.31, пить , гл несов пер/не инф ,64893,pit',4
538,185.71,57.34, партия , сущ неод ед жен им ,154197,partija,7
539,185.71,57.36, обычно , нар опред кач ,202764,obychno,7
541,185.16,57.4, страх , сущ неод ед муж им ,33387,strah,5
543,184.49,57.44, ясно , нар опред кач ,206587,jasno,5
544,184.18,57.45, снять , гл сов перех инф ,65740,snjat',6
545,183.45,57.47, герой , сущ одуш ед муж им ,1207128,geroj,5
546,183.45,57.49, бумага , сущ неод ед жен им ,2551,bumaga,6
547,182.65,57.51, пара , сущ неод ед жен им ,13385,para,4
550,182.22,57.56, речь , сущ неод ед жен им ,17019,rech',5
554,181.37,57.64, связь , сущ неод ед жен им ,17721,svjaz',6
555,180.57,57.65, скоро , нар опред кач ,205356,skoro,5
559,179.41,57.73, завтра , нар обст врем ,200324,zavtra,6
560,179.35,57.74, пустой , прл ед муж им ,54714,pustoj,6
565,178.12,57.83, мимо , предл род ,4128066,mimo,4
566,177.7,57.85, иначе , нар опред спос ,200636,inache,6
568,177.08,57.89, класс , сущ неод ед муж им ,26523,klass,5
570,176.72,57.92, толстый , прл ед муж им ,56604,tolstyj,7
571,176.29,57.94, цель , сущ неод ед жен им ,21651,tsel',5
572,176.1,57.96, сквозь , предл вин ,4127929,skvoz',6
574,175.92,57.99, чистый , прл ед муж им ,57689,chistyj,7
575,175.8,58.01, знать , сущ неод ед жен им ,6527,znat',5
580,174.63,58.1, худой , прл ед муж им ,57439,hudoj,5
581,174.51,58.12, чужой , прл ед муж им ,121005,chuzhoj,7
582,174.51,58.13, план , сущ неод ед муж им ,30183,plan,4
583,174.51,58.15, дух , сущ ед муж им ,25179,duh,3
584,174.39,58.17, зал , сущ неод ед муж им ,25491,zal,3
586,174.21,58.2, особый , прл ед муж им ,53204,osobyj,6
587,173.9,58.22, бывший , прл ед муж им ,47527,byvshij,7
589,173.59,58.25, память , сущ неод ед жен им ,13313,pamjat',7
590,173.53,58.27, близкий , прл ед муж им ,47267,blizkij,7
592,173.04,58.31, сей , мест прил ед муж им ,4013925,sej,3
593,172.68,58.32, больной , прл ед муж им ,47377,bol'noj,7
